emp_no,first_name,last_name,from_date,to_date,title
10095,Hilari,Morton,2000-03-09,9999-01-01,Senior Staff
10122,Ohad,Esposito,1998-08-06,9999-01-01,Technique Leader
10291,Dipayan,Seghrouchni,1994-03-30,9999-01-01,Senior Staff
10410,Takahito,Gecsei,1993-10-16,1996-07-21,Staff
10476,Kokou,Iisaka,1994-09-20,9999-01-01,Senior Staff
10480,Make,Baba,1988-05-18,1989-06-03,Staff
10663,Teunis,Noriega,1993-01-23,9999-01-01,Technique Leader
10762,Lech,Himler,1999-01-21,9999-01-01,Senior Staff
10933,Juyoung,Seghrouchni,1993-08-02,9999-01-01,Senior Engineer
11015,Jeanna,Riesenhuber,1998-03-14,2000-02-22,Senior Staff
11126,Hideo,Daescu,1999-02-25,2002-04-04,Senior Staff
11157,Mario,Cochrane,1985-03-30,1991-02-06,Engineer
11432,Yongmao,Zwicker,1996-10-18,1997-09-13,Senior Engineer
12155,Keiichiro,Glinert,2001-09-16,9999-01-01,Senior Engineer
12408,Rasiah,Sudkamp,1995-04-18,9999-01-01,Senior Engineer
12643,Morrie,Schurmann,1998-12-31,9999-01-01,Staff
13499,Kazuhiko,Sidou,1991-09-01,9999-01-01,Technique Leader
13957,Angus,Chelton,1986-04-18,1987-02-02,Senior Engineer
14075,Denny,Tchuente,1998-05-30,9999-01-01,Engineer
14104,Sudhanshu,Demian,1999-07-23,9999-01-01,Senior Staff
14127,Magdalena,Cannard,2002-04-22,9999-01-01,Senior Engineer
14158,Caolyn,Setiz,1996-02-06,9999-01-01,Senior Staff
14476,Sastry,Marrevee,1999-09-25,9999-01-01,Engineer
14551,Richard,Sinitsyn,1993-06-27,1993-09-16,Senior Staff
14907,Nakhoon,Luga,1994-12-18,9999-01-01,Senior Staff
15050,Nikolaos,Kruskal,1996-12-16,9999-01-01,Senior Engineer
15058,Bouchung,Bugrara,1998-06-18,9999-01-01,Senior Staff
15376,Geoff,Soicher,1996-08-14,2001-03-01,Senior Staff
15413,Arvin,Rabejac,2002-01-01,9999-01-01,Senior Engineer
16461,Remmert,Schahn,1994-09-06,9999-01-01,Senior Staff
16528,Gaurav,Swick,2001-05-07,9999-01-01,Engineer
17013,Morris,Garigliano,2000-05-23,9999-01-01,Senior Staff
17206,Berry,DeMori,1998-12-27,9999-01-01,Senior Engineer
17369,Yaghout,Kenevan,1998-01-28,9999-01-01,Senior Engineer
17447,Zengping,Boreale,1998-12-16,9999-01-01,Staff
17618,Teiji,Picco,1992-09-17,1999-11-08,Staff
17731,Gennady,Roison,1997-12-06,9999-01-01,Engineer
17799,Gro,Gini,1997-09-28,2001-07-11,Engineer
17970,Filipp,Carrere,1989-01-09,9999-01-01,Technique Leader
17988,Mabhin,Calkin,1997-11-30,9999-01-01,Senior Engineer
18021,Adil,Matzke,1995-05-08,9999-01-01,Senior Engineer
18187,Denis,Falster,1998-12-21,1999-06-03,Staff
18424,Filipp,Rousseau,2002-06-07,9999-01-01,Senior Engineer
18583,Stafford,Honglei,1998-08-16,9999-01-01,Staff
18617,Surveyors,Crouzet,1998-04-24,9999-01-01,Senior Staff
18810,Taiji,Jarecki,1999-06-27,9999-01-01,Senior Engineer
19236,Elzbieta,Morris,1993-07-12,9999-01-01,Senior Engineer
19350,Satoru,Yoshizawa,1999-03-27,9999-01-01,Senior Staff
19803,Ziva,Kowalchuk,1992-06-12,9999-01-01,Senior Engineer
20100,Utz,Heuter,1995-06-15,9999-01-01,Senior Staff
20128,Kazunori,Peak,1999-08-13,9999-01-01,Senior Staff
20129,Rafael,Skafidas,2000-03-27,9999-01-01,Senior Engineer
20248,Vidar,Demri,1999-12-31,9999-01-01,Staff
20313,Candida,Benveniste,1999-01-20,9999-01-01,Engineer
